,Date,Resting heart rate,bpm,Below Fat burn zone ( < 119 bpm),Fat burn zone (119-142 bpm),Cardio zone (142-170 bpm),Peak zone ( > 170 bpm),steps,calories,distance,sedentary mins,light active mins,mod active mins,very active mins,day_of_week
0,2021-01-01,70,75,1393,38,0,0,3759,2348,2.8,685,169,0,0,Friday
1,2021-01-02,68,76,1215,73,0,0,5606,2554,4.1,791,204,13,0,Saturday
2,2021-01-03,69,78,1293,129,0,0,5079,2682,3.7,699,247,0,0,Sunday
3,2021-01-04,71,78,1315,82,19,2,3236,2595,2.3,871,139,4,29,Monday
4,2021-01-05,73,79,1407,23,0,0,1220,2055,0.8,581,56,0,0,Tuesday
5,2021-01-06,73,76,1376,57,2,0,2653,2254,1.9,581,129,0,0,Wednesday
6,2021-01-07,73,76,1303,110,0,0,3260,2423,2.4,805,197,0,0,Thursday
7,2021-01-08,71,76,1244,119,0,0,3482,2428,2.6,840,181,0,0,Friday
8,2021-01-09,68,78,1240,195,0,0,5825,2795,4.2,720,262,0,0,Saturday
9,2021-01-10,68,70,1320,23,0,0,2840,2245,2.1,702,148,0,0,Sunday
10,2021-01-11,67,71,1375,47,1,0,4135,2407,3.0,655,178,9,1,Monday
11,2021-01-12,67,78,1389,45,0,0,940,2124,0.7,698,67,0,0,Tuesday
12,2021-01-13,67,72,1421,8,0,0,1173,2025,0.9,902,65,0,0,Wednesday
13,2021-01-14,67,77,1351,49,0,0,963,2155,0.7,848,72,0,0,Thursday
14,2021-01-15,68,78,1413,14,0,0,1804,2205,1.3,757,98,0,0,Friday
15,2021-01-16,70,79,1319,98,7,0,2675,2449,1.9,703,107,5,23,Saturday
16,2021-01-17,72,77,1290,7,0,0,1495,2109,1.1,736,94,0,0,Sunday
17,2021-01-18,72,82,1282,108,14,0,2999,2523,2.2,749,151,2,21,Monday
18,2021-01-19,72,84,1282,92,0,0,2112,2245,1.6,748,99,0,0,Tuesday
19,2021-01-20,74,81,1294,80,0,0,3334,2411,2.4,657,184,0,0,Wednesday
20,2021-01-21,74,83,1260,166,0,0,4301,2487,3.1,747,175,9,0,Thursday
21,2021-01-22,74,79,1280,105,15,0,4464,2425,3.2,772,130,9,17,Friday
22,2021-01-23,74,80,1166,76,26,0,2845,2550,1.9,737,122,10,37,Saturday
23,2021-01-24,74,78,1359,70,0,0,2517,2297,1.8,823,139,0,0,Sunday
24,2021-01-25,73,77,1379,54,0,0,2599,2283,1.9,738,151,0,0,Monday
25,2021-01-26,73,82,1196,223,14,0,6377,2680,4.5,722,163,9,23,Tuesday
26,2021-01-27,72,78,1312,90,0,0,4358,2397,3.2,816,165,0,0,Wednesday
27,2021-01-28,72,77,1359,69,0,0,2012,2210,1.5,735,119,0,0,Thursday
28,2021-01-29,72,77,1260,174,0,0,3402,2421,2.5,782,172,0,0,Friday
29,2021-01-30,72,75,1108,49,2,0,2302,2213,1.7,870,115,0,0,Saturday
30,2021-01-31,72,83,1177,226,21,3,5039,2799,3.6,672,181,13,32,Sunday
31,2021-02-01,73,89,951,416,34,2,8248,3546,6.0,585,283,45,47,Monday
32,2021-02-02,73,83,1170,205,32,0,3150,2720,2.2,729,143,5,39,Tuesday
33,2021-02-03,73,84,1031,319,28,1,5276,2924,3.8,653,197,8,36,Wednesday
34,2021-02-04,73,80,1277,146,0,0,5147,2605,3.7,762,232,0,0,Thursday
35,2021-02-05,73,82,1014,157,0,0,5446,2591,3.9,720,224,0,0,Friday
36,2021-02-06,74,87,1154,253,18,0,5115,2926,3.8,754,243,8,23,Saturday
37,2021-02-07,76,87,1135,276,11,1,7667,3024,5.5,675,254,27,27,Sunday
38,2021-02-08,78,84,1225,212,0,0,3085,2429,2.3,1059,161,0,0,Monday
39,2021-02-09,78,84,1177,245,0,0,5885,2601,4.2,690,227,0,0,Tuesday
40,2021-02-10,77,86,981,155,23,2,3309,2513,2.3,761,105,25,28,Wednesday
41,2021-02-11,77,83,1159,260,13,0,4449,2574,3.2,796,163,15,17,Thursday
42,2021-02-12,76,79,1372,56,0,0,2803,2155,2.1,787,124,0,0,Friday
43,2021-02-13,79,86,939,131,28,4,1870,2394,1.3,923,57,6,33,Saturday
44,2021-02-14,78,84,1240,160,24,4,3687,2419,2.6,855,96,5,28,Sunday
45,2021-02-15,79,85,1128,268,1,0,3428,2480,2.5,836,170,0,0,Monday
46,2021-02-16,79,88,936,328,20,0,6406,2916,4.7,733,260,17,22,Tuesday
47,2021-02-17,79,93,788,586,0,0,7145,2891,4.9,797,270,13,3,Wednesday
48,2021-02-18,80,95,744,662,7,0,6539,2959,4.8,704,284,1,7,Thursday
49,2021-02-19,80,93,959,445,8,0,6394,2874,4.6,754,295,14,8,Friday
50,2021-02-20,82,95,747,645,23,1,5644,3065,4.1,606,321,4,21,Saturday
51,2021-02-21,82,96,822,600,13,0,7232,2999,5.1,641,312,14,11,Sunday
52,2021-02-22,80,85,1253,180,0,0,3451,2361,2.5,679,192,0,0,Monday
53,2021-02-23,80,82,826,113,13,7,2416,2302,1.5,881,92,10,21,Tuesday
54,2021-02-24,78,86,1086,311,12,0,5319,2619,3.8,690,222,3,14,Wednesday
55,2021-02-25,76,85,1186,222,9,0,6908,2702,4.9,638,243,15,13,Thursday
56,2021-02-26,73,84,1162,250,11,0,6771,2843,4.9,713,249,14,20,Friday
57,2021-02-27,72,84,1031,294,7,0,9378,3013,6.9,690,232,24,27,Saturday
58,2021-02-28,72,82,1301,116,0,0,5209,2596,3.8,567,240,0,0,Sunday
59,2021-03-01,72,83,1206,226,0,0,8865,2974,6.2,664,251,48,20,Monday
60,2021-03-02,71,86,797,163,1,0,10860,2667,8.7,686,90,40,60,Tuesday
61,2021-03-03,71,76,1300,129,0,0,2925,2492,2.1,658,224,0,0,Wednesday
62,2021-03-04,70,81,1234,141,2,0,5938,2683,4.3,585,256,0,0,Thursday
63,2021-03-05,70,80,1194,232,4,0,9765,3026,7.0,564,296,32,18,Friday
64,2021-03-06,72,75,1137,47,19,1,3168,2394,2.3,1070,151,0,20,Saturday
65,2021-03-07,70,75,1027,101,0,0,9509,2632,7.0,755,191,24,10,Sunday
66,2021-03-08,70,73,1271,14,3,0,2391,2054,1.6,887,110,0,0,Monday
67,2021-03-09,70,81,1256,118,0,0,1760,2161,1.3,742,102,0,0,Tuesday
68,2021-03-10,72,94,779,646,0,0,6770,3240,5.0,588,355,20,0,Wednesday
69,2021-03-11,75,85,1145,179,0,0,6852,2590,5.0,761,226,2,6,Thursday
70,2021-03-12,0,75,1355,42,0,0,4760,2235,3.5,1271,169,0,0,Friday
71,2021-03-13,74,74,1359,35,0,0,2575,2067,1.9,1338,102,0,0,Saturday
72,2021-03-14,73,75,1378,53,0,0,2495,2107,1.8,1322,118,0,0,Sunday
