,Date,Hour of day,bpm
0,2021-01-01,0,68.0
1,2021-01-01,1,67.0
2,2021-01-01,2,67.0
3,2021-01-01,3,63.0
4,2021-01-01,4,68.0
5,2021-01-01,5,70.0
6,2021-01-01,6,85.0
7,2021-01-01,7,72.0
8,2021-01-01,8,80.0
9,2021-01-01,9,81.0
10,2021-01-01,10,75.0
11,2021-01-01,11,70.0
12,2021-01-01,12,81.0
13,2021-01-01,13,82.0
14,2021-01-01,14,81.0
15,2021-01-01,15,84.0
16,2021-01-01,16,84.0
17,2021-01-01,17,74.0
18,2021-01-01,18,76.0
19,2021-01-01,19,77.0
20,2021-01-01,20,71.0
21,2021-01-01,21,72.0
22,2021-01-01,22,65.0
23,2021-01-01,23,67.0
24,2021-01-02,0,66.0
25,2021-01-02,1,63.0
26,2021-01-02,2,66.0
27,2021-01-02,3,72.0
28,2021-01-02,4,81.0
29,2021-01-02,5,80.0
30,2021-01-02,6,80.0
31,2021-01-02,7,73.0
32,2021-01-02,8,80.0
33,2021-01-02,9,76.0
34,2021-01-02,10,78.0
35,2021-01-02,11,80.0
36,2021-01-02,12,85.0
37,2021-01-02,13,84.0
38,2021-01-02,15,99.0
39,2021-01-02,16,75.0
40,2021-01-02,17,97.0
41,2021-01-02,18,76.0
42,2021-01-02,19,76.0
43,2021-01-02,20,71.0
44,2021-01-02,21,71.0
45,2021-01-02,22,70.0
46,2021-01-02,23,67.0
47,2021-01-03,0,68.0
48,2021-01-03,1,68.0
49,2021-01-03,2,69.0
50,2021-01-03,3,70.0
51,2021-01-03,4,73.0
52,2021-01-03,5,80.0
53,2021-01-03,6,85.0
54,2021-01-03,7,98.0
55,2021-01-03,8,92.0
56,2021-01-03,9,85.0
57,2021-01-03,10,76.0
58,2021-01-03,11,81.0
59,2021-01-03,12,89.0
60,2021-01-03,13,89.0
61,2021-01-03,14,92.0
62,2021-01-03,15,85.0
63,2021-01-03,16,78.0
64,2021-01-03,17,77.0
65,2021-01-03,18,72.0
66,2021-01-03,19,77.0
67,2021-01-03,20,78.0
68,2021-01-03,21,75.0
69,2021-01-03,22,72.0
70,2021-01-03,23,70.0
71,2021-01-04,0,71.0
72,2021-01-04,1,68.0
73,2021-01-04,2,69.0
74,2021-01-04,3,71.0
75,2021-01-04,4,74.0
76,2021-01-04,5,74.0
77,2021-01-04,6,76.0
78,2021-01-04,7,81.0
79,2021-01-04,8,76.0
80,2021-01-04,9,138.0
81,2021-01-04,10,82.0
82,2021-01-04,11,79.0
83,2021-01-04,12,88.0
84,2021-01-04,13,80.0
85,2021-01-04,14,78.0
86,2021-01-04,15,88.0
87,2021-01-04,16,87.0
88,2021-01-04,17,79.0
89,2021-01-04,18,75.0
90,2021-01-04,19,80.0
91,2021-01-04,20,78.0
92,2021-01-04,21,75.0
93,2021-01-04,22,76.0
94,2021-01-04,23,78.0
95,2021-01-05,0,76.0
96,2021-01-05,1,74.0
97,2021-01-05,2,74.0
98,2021-01-05,3,76.0
99,2021-01-05,4,82.0
100,2021-01-05,5,87.0
101,2021-01-05,6,84.0
102,2021-01-05,7,83.0
103,2021-01-05,8,81.0
104,2021-01-05,9,80.0
105,2021-01-05,10,81.0
106,2021-01-05,11,78.0
107,2021-01-05,12,82.0
108,2021-01-05,13,85.0
109,2021-01-05,14,81.0
110,2021-01-05,15,78.0
111,2021-01-05,16,78.0
112,2021-01-05,17,77.0
113,2021-01-05,18,73.0
114,2021-01-05,19,74.5
115,2021-01-05,20,74.0
116,2021-01-05,21,76.0
117,2021-01-05,22,81.0
118,2021-01-05,23,79.0
119,2021-01-06,0,73.0
120,2021-01-06,1,71.0
121,2021-01-06,2,73.0
122,2021-01-06,3,72.0
123,2021-01-06,4,72.0
124,2021-01-06,5,73.0
125,2021-01-06,6,77.0
126,2021-01-06,7,73.0
127,2021-01-06,8,78.0
128,2021-01-06,9,88.0
129,2021-01-06,10,85.0
130,2021-01-06,11,78.0
131,2021-01-06,12,83.0
132,2021-01-06,13,80.0
133,2021-01-06,14,74.0
134,2021-01-06,15,76.0
135,2021-01-06,16,78.0
136,2021-01-06,17,90.0
137,2021-01-06,18,73.0
138,2021-01-06,19,76.0
139,2021-01-06,20,86.0
140,2021-01-06,21,71.0
141,2021-01-06,22,68.0
142,2021-01-06,23,66.0
143,2021-01-07,0,68.0
144,2021-01-07,1,66.0
145,2021-01-07,2,69.0
146,2021-01-07,3,68.0
147,2021-01-07,4,72.0
148,2021-01-07,5,74.0
149,2021-01-07,6,80.0
150,2021-01-07,7,81.0
151,2021-01-07,8,97.0
152,2021-01-07,9,93.0
153,2021-01-07,10,83.0
154,2021-01-07,11,84.0
155,2021-01-07,12,80.0
156,2021-01-07,13,77.0
157,2021-01-07,14,72.0
158,2021-01-07,15,77.0
159,2021-01-07,16,71.0
160,2021-01-07,17,77.0
161,2021-01-07,18,68.0
162,2021-01-07,19,76.0
163,2021-01-07,20,79.0
164,2021-01-07,21,73.0
165,2021-01-07,22,74.0
166,2021-01-07,23,71.0
167,2021-01-08,0,69.0
168,2021-01-08,1,66.0
169,2021-01-08,2,69.0
170,2021-01-08,3,70.0
171,2021-01-08,4,73.0
172,2021-01-08,5,75.0
173,2021-01-08,6,83.0
174,2021-01-08,7,76.0
175,2021-01-08,8,77.0
176,2021-01-08,9,100.0
177,2021-01-08,10,92.0
178,2021-01-08,11,91.0
179,2021-01-08,12,93.0
180,2021-01-08,13,88.0
181,2021-01-08,14,89.0
182,2021-01-08,15,88.0
183,2021-01-08,16,85.0
184,2021-01-08,17,75.0
185,2021-01-08,18,81.0
186,2021-01-08,19,70.0
187,2021-01-08,20,69.0
188,2021-01-08,21,70.0
189,2021-01-08,22,66.0
190,2021-01-08,23,62.0
191,2021-01-09,0,64.0
192,2021-01-09,1,64.0
193,2021-01-09,2,66.0
194,2021-01-09,3,66.0
195,2021-01-09,4,71.0
196,2021-01-09,5,88.0
197,2021-01-09,6,100.0
198,2021-01-09,7,81.0
199,2021-01-09,8,77.0
200,2021-01-09,9,83.0
201,2021-01-09,10,86.0
202,2021-01-09,11,91.0
203,2021-01-09,12,98.0
204,2021-01-09,13,88.0
205,2021-01-09,14,81.0
206,2021-01-09,15,93.0
207,2021-01-09,16,90.0
208,2021-01-09,17,73.0
209,2021-01-09,18,74.0
210,2021-01-09,19,67.0
211,2021-01-09,20,72.0
212,2021-01-09,21,68.0
213,2021-01-09,22,69.0
214,2021-01-09,23,65.0
215,2021-01-10,0,66.0
216,2021-01-10,1,68.0
217,2021-01-10,2,67.0
218,2021-01-10,3,63.0
219,2021-01-10,4,64.0
220,2021-01-10,5,68.0
221,2021-01-10,6,72.0
222,2021-01-10,7,71.0
223,2021-01-10,8,72.0
224,2021-01-10,9,79.0
225,2021-01-10,10,87.0
226,2021-01-10,12,79.0
227,2021-01-10,13,81.0
228,2021-01-10,14,74.0
229,2021-01-10,15,72.0
230,2021-01-10,16,73.0
231,2021-01-10,17,80.5
232,2021-01-10,18,68.0
233,2021-01-10,19,67.0
234,2021-01-10,20,69.0
235,2021-01-10,21,67.0
236,2021-01-10,22,68.0
237,2021-01-10,23,63.0
238,2021-01-11,0,61.0
239,2021-01-11,1,70.0
240,2021-01-11,2,67.0
241,2021-01-11,3,66.0
242,2021-01-11,4,65.0
243,2021-01-11,5,69.0
244,2021-01-11,6,80.0
245,2021-01-11,7,77.0
246,2021-01-11,8,84.0
247,2021-01-11,9,76.0
248,2021-01-11,10,76.0
249,2021-01-11,11,69.0
250,2021-01-11,12,76.0
251,2021-01-11,13,80.0
252,2021-01-11,14,82.0
253,2021-01-11,15,79.0
254,2021-01-11,16,73.0
255,2021-01-11,17,70.0
256,2021-01-11,18,71.0
257,2021-01-11,19,63.0
258,2021-01-11,20,60.0
259,2021-01-11,21,65.0
260,2021-01-11,22,69.0
261,2021-01-11,23,73.0
262,2021-01-12,0,77.0
263,2021-01-12,1,77.0
264,2021-01-12,2,82.0
265,2021-01-12,3,84.0
266,2021-01-12,4,86.0
267,2021-01-12,5,82.0
268,2021-01-12,6,81.0
269,2021-01-12,7,79.0
270,2021-01-12,8,79.0
271,2021-01-12,9,77.0
272,2021-01-12,10,78.0
273,2021-01-12,11,78.0
274,2021-01-12,12,75.0
275,2021-01-12,13,78.0
276,2021-01-12,14,75.0
277,2021-01-12,15,79.0
278,2021-01-12,16,95.0
279,2021-01-12,17,79.0
280,2021-01-12,18,74.0
281,2021-01-12,19,72.0
282,2021-01-12,20,69.0
283,2021-01-12,21,65.0
284,2021-01-12,22,68.0
285,2021-01-12,23,65.0
286,2021-01-13,0,64.0
287,2021-01-13,1,65.0
288,2021-01-13,2,66.0
289,2021-01-13,3,65.0
290,2021-01-13,4,67.0
291,2021-01-13,5,67.0
292,2021-01-13,6,74.0
293,2021-01-13,7,72.0
294,2021-01-13,8,78.0
295,2021-01-13,9,75.0
296,2021-01-13,10,74.0
297,2021-01-13,11,76.0
298,2021-01-13,12,75.0
299,2021-01-13,13,72.0
300,2021-01-13,14,74.0
301,2021-01-13,15,72.0
302,2021-01-13,16,81.0
303,2021-01-13,17,71.0
304,2021-01-13,18,72.0
305,2021-01-13,19,70.0
306,2021-01-13,20,77.0
307,2021-01-13,21,71.0
