,Date,startTime,endTime,duration,minutesToFallAsleep,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,deep,wake,light,rem,day_of_week
122,2021-01-01,2021-01-01T15:32:00.000,2021-01-01T16:58:30.000,1.4,0,80,6,0,86,57,40,173,68,Friday
123,2021-01-01,2021-01-01T01:00:30.000,2021-01-01T09:21:00.000,8.3,0,453,47,1,500,53,47,310,90,Friday
121,2021-01-02,2021-01-02T00:53:00.000,2021-01-02T08:05:00.000,7.2,0,369,63,0,432,86,63,198,85,Saturday
120,2021-01-03,2021-01-03T00:39:30.000,2021-01-03T08:54:00.000,8.2,0,452,42,0,494,93,42,218,141,Sunday
119,2021-01-04,2021-01-04T01:38:00.000,2021-01-04T08:15:00.000,6.6,0,369,28,0,397,81,28,187,101,Monday
118,2021-01-05,2021-01-04T23:12:00.000,2021-01-05T09:39:30.000,10.4,0,528,99,0,627,105,99,286,137,Tuesday
117,2021-01-05,2021-01-05T14:16:00.000,2021-01-05T15:33:30.000,1.3,0,61,16,0,77,57,40,173,68,Tuesday
116,2021-01-05,2021-01-05T22:10:00.000,2021-01-05T23:49:00.000,1.6,0,97,2,0,99,57,40,173,68,Tuesday
115,2021-01-06,2021-01-06T03:28:00.000,2021-01-06T09:33:00.000,6.1,0,348,17,0,365,57,40,173,68,Wednesday
114,2021-01-07,2021-01-07T01:44:30.000,2021-01-07T09:02:30.000,7.3,0,386,52,0,438,67,52,188,131,Thursday
113,2021-01-08,2021-01-08T02:15:30.000,2021-01-08T09:15:00.000,7.0,0,391,28,0,419,92,28,172,127,Friday
112,2021-01-09,2021-01-09T01:11:00.000,2021-01-09T08:49:30.000,7.6,0,412,46,4,458,79,46,221,112,Saturday
111,2021-01-10,2021-01-10T00:18:30.000,2021-01-10T10:08:30.000,9.8,0,548,42,0,590,143,42,252,153,Sunday
110,2021-01-11,2021-01-11T00:18:30.000,2021-01-11T10:16:00.000,10.0,0,508,89,0,597,109,89,278,121,Monday
109,2021-01-12,2021-01-12T00:21:30.000,2021-01-12T09:30:00.000,9.1,0,445,103,0,548,71,103,327,47,Tuesday
108,2021-01-12,2021-01-12T16:35:30.000,2021-01-12T18:43:00.000,2.1,0,120,7,0,127,57,40,173,68,Tuesday
107,2021-01-13,2021-01-13T01:50:30.000,2021-01-13T09:44:00.000,7.9,0,422,51,0,473,85,51,224,113,Wednesday
