,sleep_log_entry_id,Date,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,day_of_week
484,30294452331,2021-01-01,84,19,23,42,52,72,0.0687563195146612,Friday
483,30303729484,2021-01-02,74,21,18,35,86,70,0.127039627039627,Saturday
482,30319770509,2021-01-03,80,22,16,42,92,68,0.1001011122345803,Sunday
481,30339669648,2021-01-04,77,21,17,39,80,69,0.047314578005115,Monday
480,30341872243,2021-01-05,77,22,11,44,105,71,0.1391162029459901,Tuesday
479,30368939452,2021-01-06,77,22,18,37,102,73,0.074792243767313,Wednesday
478,30397139374,2021-01-07,80,21,22,37,66,73,0.0763968072976054,Thursday
477,30397139375,2021-01-08,83,22,21,40,92,73,0.0738974970202622,Friday
476,30400385762,2021-01-09,85,21,22,42,78,71,0.1052048726467331,Saturday
475,30414824525,2021-01-10,91,25,20,46,142,68,0.0728196443691786,Sunday
474,30426240974,2021-01-11,85,22,20,43,109,68,0.1121338912133891,Monday
473,30466253488,2021-01-12,66,16,13,37,70,67,0.1602209944751381,Tuesday
472,30466253490,2021-01-13,83,22,19,42,85,67,0.0985169491525423,Wednesday
471,30510912737,2021-01-14,75,20,14,41,70,67,0.1160275319567355,Thursday
470,30510912738,2021-01-15,78,22,12,44,92,67,0.1024765157984628,Friday
469,30510912739,2021-01-16,77,21,11,45,63,68,0.1162343900096061,Saturday
468,30524895551,2021-01-17,73,20,14,39,78,70,0.1220876048462255,Sunday
467,30535130876,2021-01-18,80,21,18,41,77,72,0.0915354330708661,Monday
466,30570339497,2021-01-19,76,19,13,44,84,72,0.0841121495327102,Tuesday
465,30570339498,2021-01-20,80,22,13,45,92,72,0.1000834028356964,Wednesday
464,30579946959,2021-01-21,78,21,18,39,81,74,0.1000981354268891,Thursday
463,30642785758,2021-01-22,88,22,20,46,96,74,0.0884086444007858,Friday
462,30642785759,2021-01-23,82,23,14,45,117,74,0.1206735266604303,Saturday
461,30642785760,2021-01-24,84,21,21,42,77,74,0.1040339702760085,Sunday
460,30642785761,2021-01-25,88,22,20,46,94,74,0.0830291970802919,Monday
459,30669492116,2021-01-26,79,21,21,37,78,73,0.1039106145251396,Tuesday
458,30669492118,2021-01-27,79,18,19,42,99,73,0.0876803551609323,Wednesday
457,30681012815,2021-01-28,83,21,18,44,78,72,0.148972602739726,Thursday
456,30747614277,2021-01-29,78,21,19,38,80,72,0.0620525059665871,Friday
455,30747614279,2021-01-30,79,22,18,39,96,72,0.0937853107344632,Saturday
454,30747614280,2021-01-31,89,22,20,47,101,72,0.0951932139491046,Sunday
453,30747614281,2021-02-01,67,16,16,35,50,72,0.1592356687898089,Monday
452,30751270142,2021-02-02,86,23,17,46,119,73,0.1116458132820019,Tuesday
451,30773459793,2021-02-03,86,22,18,46,90,73,0.0968634686346863,Wednesday
450,30826458126,2021-02-04,81,21,21,39,66,73,0.0875995449374289,Thursday
449,30826458127,2021-02-05,83,22,18,43,93,73,0.1109969167523124,Friday
448,30826458128,2021-02-06,74,22,15,37,95,73,0.0783353733170134,Saturday
447,30826458129,2021-02-07,67,18,17,32,47,74,0.061898211829436,Sunday
446,30835031888,2021-02-08,57,17,13,27,37,76,0.0770975056689342,Monday
445,30850018342,2021-02-09,80,19,21,40,110,78,0.0764087870105062,Tuesday
444,30904606427,2021-02-10,84,23,19,42,108,78,0.0851485148514851,Wednesday
443,30904606428,2021-02-11,77,19,20,38,72,77,0.0948081264108352,Thursday
442,30904606429,2021-02-12,76,19,22,35,74,77,0.112597547380156,Friday
441,30907292150,2021-02-13,68,17,15,36,58,76,0.0974421437271619,Saturday
440,30962032418,2021-02-14,80,20,22,38,86,79,0.079646017699115,Sunday
439,30962032419,2021-02-15,72,20,14,38,119,78,0.1038961038961039,Monday
438,30962032420,2021-02-16,80,22,21,37,101,79,0.0917085427135678,Tuesday
437,30962032421,2021-02-17,59,16,18,25,74,79,0.1087570621468926,Wednesday
436,30993044031,2021-02-18,79,21,19,39,85,79,0.0912200684150513,Thursday
435,30993044032,2021-02-19,77,21,21,35,54,80,0.1069958847736625,Friday
434,31004688354,2021-02-20,74,21,17,36,71,80,0.103542234332425,Saturday
433,31031521647,2021-02-21,70,21,15,34,73,82,0.1458333333333333,Sunday
432,31031521649,2021-02-22,83,20,21,42,49,82,0.1243414120126448,Monday
431,31063690335,2021-02-23,75,20,17,38,59,80,0.1555555555555555,Tuesday
430,31063690336,2021-02-24,83,21,21,41,95,80,0.1309872922776148,Wednesday
429,31075555902,2021-02-25,81,19,22,40,89,78,0.1063029162746942,Thursday
428,31092476026,2021-02-26,83,22,21,40,91,76,0.1064073226544622,Friday
427,31100754097,2021-02-27,82,19,21,42,95,73,0.1224043715846994,Saturday
426,31120087282,2021-02-28,84,21,18,45,103,72,0.1410358565737051,Sunday
425,31153467291,2021-03-01,88,22,23,43,102,72,0.0745272525027808,Monday
424,31153467292,2021-03-02,74,18,18,38,70,72,0.178928247048138,Tuesday
423,31162042794,2021-03-03,81,19,22,40,59,71,0.1210898082744702,Wednesday
422,31173045248,2021-03-04,79,17,19,43,86,71,0.1680672268907563,Thursday
421,31187252514,2021-03-05,88,22,21,45,98,70,0.1063627730294397,Friday
420,31205960274,2021-03-06,57,15,15,27,25,70,0.1177944862155388,Saturday
419,31230582927,2021-03-08,78,19,21,38,44,70,0.0807381776239907,Monday
418,31240210663,2021-03-09,81,21,20,40,64,70,0.0860335195530726,Tuesday
417,31254535736,2021-03-10,67,16,11,40,84,70,0.1174603174603174,Wednesday
416,31267987480,2021-03-11,72,20,13,39,86,72,0.1066217732884399,Thursday
415,31411254354,2021-03-15,86,22,22,42,84,73,0.0947816826411075,Monday
414,31411254356,2021-03-16,86,21,23,42,56,72,0.0853391684901531,Tuesday
413,31411254357,2021-03-17,86,21,22,43,77,72,0.0735294117647058,Wednesday
412,31411254358,2021-03-18,83,21,21,41,66,72,0.1102702702702702,Thursday
411,31411254359,2021-03-20,83,18,23,42,94,73,0.0947603121516165,Saturday
410,31411254362,2021-03-21,77,18,17,42,115,73,0.1023069207622868,Sunday
409,31461989874,2021-03-22,75,17,22,36,67,76,0.0772104607721046,Monday
408,31461989875,2021-03-23,79,19,22,38,52,75,0.08610086100861,Tuesday
407,31461989876,2021-03-24,88,22,21,45,117,74,0.1094527363184079,Wednesday
406,31465778817,2021-03-25,84,21,22,41,85,72,0.0992529348986125,Thursday
405,31477902209,2021-03-26,78,20,22,36,53,68,0.0913107511045655,Friday
404,31491349625,2021-03-27,80,22,11,47,101,66,0.1163003663003663,Saturday
403,31525171012,2021-03-28,66,17,11,38,65,67,0.1456400742115028,Sunday
402,31525171013,2021-03-29,77,20,16,41,95,68,0.1337890625,Monday
401,31564030457,2021-03-31,78,18,20,40,53,71,0.1217750257997936,Wednesday
400,31564030458,2021-04-01,68,16,16,36,40,72,0.0878594249201278,Thursday
399,31572811393,2021-04-02,84,22,21,41,87,74,0.1269961977186312,Friday
398,31586462458,2021-04-03,90,23,22,45,121,72,0.1087160262417994,Saturday
397,31599822284,2021-04-04,86,22,21,43,97,70,0.1052631578947368,Sunday
396,31612348115,2021-04-05,83,21,21,41,87,68,0.1251231527093596,Monday
395,31637460798,2021-04-06,75,22,18,35,103,66,0.0928050052137643,Tuesday
394,31644387279,2021-04-07,84,21,20,43,61,66,0.0661070304302203,Wednesday
393,31677122647,2021-04-08,83,21,19,43,65,67,0.0762527233115468,Thursday
392,31677122648,2021-04-09,71,21,14,36,67,67,0.0549450549450549,Friday
391,31689867358,2021-04-10,86,22,18,46,90,69,0.1368322399250234,Saturday
390,31707671986,2021-04-11,85,21,22,42,95,69,0.0871327254305977,Sunday
389,31758801208,2021-04-12,80,20,23,37,71,69,0.0701986754966887,Monday
