,Date,steps,day_of_week,Path
0,2021-01-01,3759,Friday,1
1,2021-01-02,5606,Saturday,1
2,2021-01-03,5079,Sunday,1
3,2021-01-04,3236,Monday,1
4,2021-01-05,1220,Tuesday,1
5,2021-01-06,2653,Wednesday,1
6,2021-01-07,3260,Thursday,1
7,2021-01-08,3482,Friday,1
8,2021-01-09,5825,Saturday,1
9,2021-01-10,2840,Sunday,1
10,2021-01-11,4135,Monday,1
11,2021-01-12,940,Tuesday,1
12,2021-01-13,1173,Wednesday,1
13,2021-01-14,963,Thursday,1
14,2021-01-15,1804,Friday,1
15,2021-01-16,2675,Saturday,1
16,2021-01-17,1495,Sunday,1
17,2021-01-18,2999,Monday,1
18,2021-01-19,2112,Tuesday,1
19,2021-01-20,3334,Wednesday,1
20,2021-01-21,4301,Thursday,1
21,2021-01-22,4464,Friday,1
22,2021-01-23,2845,Saturday,1
23,2021-01-24,2517,Sunday,1
24,2021-01-25,2599,Monday,1
25,2021-01-26,6377,Tuesday,1
26,2021-01-27,4358,Wednesday,1
27,2021-01-28,2012,Thursday,1
28,2021-01-29,3402,Friday,1
29,2021-01-30,2302,Saturday,1
30,2021-01-31,5039,Sunday,1
31,2021-02-01,8248,Monday,1
32,2021-02-02,3150,Tuesday,1
33,2021-02-03,5276,Wednesday,1
34,2021-02-04,5147,Thursday,1
35,2021-02-05,5446,Friday,1
36,2021-02-06,5115,Saturday,1
37,2021-02-07,7667,Sunday,1
38,2021-02-08,3085,Monday,1
39,2021-02-09,5885,Tuesday,1
40,2021-02-10,3309,Wednesday,1
41,2021-02-11,4449,Thursday,1
42,2021-02-12,2803,Friday,1
43,2021-02-13,1870,Saturday,1
44,2021-02-14,3687,Sunday,1
45,2021-02-15,3428,Monday,1
46,2021-02-16,6406,Tuesday,1
47,2021-02-17,7145,Wednesday,1
48,2021-02-18,6539,Thursday,1
49,2021-02-19,6394,Friday,1
50,2021-02-20,5644,Saturday,1
51,2021-02-21,7232,Sunday,1
52,2021-02-22,3451,Monday,1
53,2021-02-23,2416,Tuesday,1
54,2021-02-24,5319,Wednesday,1
55,2021-02-25,6908,Thursday,1
56,2021-02-26,6771,Friday,1
57,2021-02-27,9378,Saturday,1
58,2021-02-28,5209,Sunday,1
59,2021-03-01,8865,Monday,1
60,2021-03-02,10860,Tuesday,1
61,2021-03-03,2925,Wednesday,1
62,2021-03-04,5938,Thursday,1
63,2021-03-05,9765,Friday,1
64,2021-03-06,3168,Saturday,1
65,2021-03-07,9509,Sunday,1
66,2021-03-08,2391,Monday,1
67,2021-03-09,1760,Tuesday,1
68,2021-03-10,6770,Wednesday,1
69,2021-03-11,6852,Thursday,1
70,2021-03-12,4760,Friday,1
71,2021-03-13,2575,Saturday,1
72,2021-03-14,2495,Sunday,1
73,2021-03-15,3993,Monday,1
74,2021-03-16,3382,Tuesday,1
75,2021-03-17,4004,Wednesday,1
76,2021-03-18,5479,Thursday,1
77,2021-03-19,3654,Friday,1
78,2021-03-20,4939,Saturday,1
79,2021-03-21,5379,Sunday,1
80,2021-03-22,5862,Monday,1
81,2021-03-23,4618,Tuesday,1
82,2021-03-24,4555,Wednesday,1
83,2021-03-25,4705,Thursday,1
84,2021-03-26,8640,Friday,1
85,2021-03-27,9569,Saturday,1
86,2021-03-28,8632,Sunday,1
87,2021-03-29,2895,Monday,1
88,2021-03-30,3812,Tuesday,1
89,2021-03-31,8033,Wednesday,1
90,2021-04-01,3848,Thursday,1
91,2021-04-02,1876,Friday,1
92,2021-04-03,1101,Saturday,1
93,2021-04-04,1967,Sunday,1
94,2021-04-05,1213,Monday,1
95,2021-04-06,2243,Tuesday,1
96,2021-04-07,3625,Wednesday,1
97,2021-04-08,13023,Thursday,1
98,2021-04-09,1646,Friday,1
99,2021-04-10,6459,Saturday,1
100,2021-04-11,2490,Sunday,1
101,2021-04-12,7145,Monday,1
102,2021-04-13,5528,Tuesday,1
103,2021-04-14,5220,Wednesday,1
104,2021-04-15,13549,Thursday,1
105,2021-04-16,927,Friday,1
106,2021-04-17,8556,Saturday,1
107,2021-04-18,8575,Sunday,1
108,2021-04-19,1290,Monday,1
109,2021-04-20,2324,Tuesday,1
110,2021-04-21,7949,Wednesday,1
111,2021-04-22,8133,Thursday,1
112,2021-04-23,5963,Friday,1
113,2021-04-24,6318,Saturday,1
114,2021-04-25,4679,Sunday,1
115,2021-04-26,3380,Monday,1
116,2021-04-27,1087,Tuesday,1
117,2021-04-28,1118,Wednesday,1
118,2021-04-29,2200,Thursday,1
119,2021-04-30,2782,Friday,1
120,2021-05-01,8428,Saturday,1
121,2021-05-02,5586,Sunday,1
122,2021-05-03,4388,Monday,1
123,2021-05-04,6610,Tuesday,1
124,2021-05-05,6075,Wednesday,1
125,2021-05-06,4061,Thursday,1
126,2021-05-07,11018,Friday,1
127,2021-05-08,3402,Saturday,1
128,2021-05-09,3661,Sunday,1
129,2021-05-10,2315,Monday,1
130,2021-05-11,5127,Tuesday,1
131,2021-05-12,1492,Wednesday,1
132,2021-05-13,7956,Thursday,1
133,2021-05-14,1911,Friday,1
134,2021-05-15,1222,Saturday,1
135,2021-05-16,1463,Sunday,1
136,2021-05-17,5960,Monday,1
137,2021-05-18,6452,Tuesday,1
138,2021-05-19,6455,Wednesday,1
139,2021-05-20,9610,Thursday,1
