timestamp,average_value,lower_bound,upper_bound
2022-01-14T00:00:00Z,96.5,94.1,99.2
2022-01-15T00:00:00Z,94.6,93.6,95.6
2022-01-16T00:00:00Z,93.8,91.6,95.8
2022-01-17T00:00:00Z,93.5,91.4,95.8
2022-01-18T00:00:00Z,93.7,92.6,94.2
2022-01-19T00:00:00Z,93.3,90.4,96.2
2022-01-20T00:00:00Z,94.7,94.0,95.7
2022-01-21T00:00:00Z,95.0,93.5,95.3
2022-01-23T00:00:00Z,97.1,94.3,99.7
2022-01-24T00:00:00Z,95.9,93.4,99.5
2022-01-25T00:00:00Z,92.9,92.1,94.1
2022-01-26T00:00:00Z,93.7,91.0,95.8
2022-01-27T00:00:00Z,95.5,93.9,96.6
2022-01-28T00:00:00Z,95.3,94.4,97.3
2022-01-29T00:00:00Z,95.0,90.1,99.0
2022-01-30T00:00:00Z,96.3,94.2,98.1
2022-02-01T00:00:00Z,93.4,91.3,95.5
2022-02-02T00:00:00Z,94.9,88.7,97.7
2022-02-03T00:00:00Z,96.0,95.4,96.1
2022-02-04T00:00:00Z,95.3,94.1,96.7
2022-02-07T00:00:00Z,95.2,93.5,95.8
2022-02-08T00:00:00Z,94.0,91.7,95.7
2022-02-09T00:00:00Z,96.1,95.3,96.8
2022-02-10T00:00:00Z,95.9,94.6,97.6
2022-02-11T00:00:00Z,95.7,94.0,98.0
2022-02-12T00:00:00Z,96.1,94.4,97.7
2022-02-13T00:00:00Z,98.4,97.1,99.9
2022-02-15T00:00:00Z,96.4,94.5,98.5
2022-02-16T00:00:00Z,96.9,95.9,99.0
2022-02-17T00:00:00Z,92.4,90.6,93.9
2022-02-18T00:00:00Z,95.2,93.2,96.9
2022-02-19T00:00:00Z,95.1,93.0,96.7
2022-02-20T00:00:00Z,96.6,94.3,100.0
2022-02-22T00:00:00Z,96.9,94.4,99.6
2022-02-23T00:00:00Z,96.7,93.3,99.8
2022-02-24T00:00:00Z,94.8,94.3,95.3
2022-02-25T00:00:00Z,95.7,93.4,98.1
2022-02-26T00:00:00Z,95.9,92.2,99.3
2022-02-27T00:00:00Z,96.5,93.5,98.8
2022-03-01T00:00:00Z,95.8,92.9,98.0
2022-03-02T00:00:00Z,96.9,93.2,99.5
2022-03-03T00:00:00Z,96.8,95.8,98.9
2022-03-04T00:00:00Z,94.1,91.2,96.9
2022-03-05T00:00:00Z,94.7,91.8,96.9
2022-03-06T00:00:00Z,95.4,93.6,97.1
2022-03-09T00:00:00Z,95.5,93.6,96.8
2022-03-10T00:00:00Z,95.3,93.0,98.9
2022-03-11T00:00:00Z,95.7,92.5,97.5
2022-03-12T00:00:00Z,97.2,95.3,99.5
2022-03-13T00:00:00Z,96.4,93.5,100.0
2022-03-15T00:00:00Z,96.9,93.7,100.0
2022-03-16T00:00:00Z,96.0,94.0,99.6
2022-03-17T00:00:00Z,97.1,93.7,100.0
2022-03-18T00:00:00Z,96.1,95.0,97.5
2022-03-19T00:00:00Z,95.6,92.8,99.4
2022-03-20T00:00:00Z,97.2,94.8,100.0
2022-03-22T00:00:00Z,96.7,94.4,99.1
2022-03-23T00:00:00Z,96.7,93.1,100.0
2022-03-24T00:00:00Z,95.0,90.7,98.3
2022-03-25T00:00:00Z,96.2,93.5,98.2
2022-03-26T00:00:00Z,95.7,94.2,97.4
2022-03-27T00:00:00Z,96.9,94.0,99.4
2022-03-28T00:00:00Z,95.6,94.3,97.4
2022-03-29T00:00:00Z,96.6,95.3,100.0
2022-03-30T00:00:00Z,95.8,93.7,97.2
2022-03-31T00:00:00Z,95.4,93.9,97.3
2022-04-01T00:00:00Z,96.3,91.8,99.8
2022-04-02T00:00:00Z,96.4,95.7,97.2
2022-04-03T00:00:00Z,94.9,94.9,95.3
